,image,subject,scanner,type,view
0,freesurfer/s03-bas-si-prisma-7-mprage-20140518/s03-bas-si-prisma-7-mprage-20140518_z.png,s03,bas-prisma-mprage,freesurfer,Axial
1,freesurfer/s03-bas-si-prisma-7-mprage-20140518/s03-bas-si-prisma-7-mprage-20140518_x.png,s03,bas-prisma-mprage,freesurfer,Sagittal
2,freesurfer/s03-bas-si-prisma-7-mprage-20140518/s03-bas-si-prisma-7-mprage-20140518_y.png,s03,bas-prisma-mprage,freesurfer,Coronal
3,freesurfer/s10-mil-ph-intera-401-sense-20140514/s10-mil-ph-intera-401-sense-20140514_x.png,s10,mil-intera-sense,freesurfer,Sagittal
4,freesurfer/s10-mil-ph-intera-401-sense-20140514/s10-mil-ph-intera-401-sense-20140514_y.png,s10,mil-intera-sense,freesurfer,Coronal
5,freesurfer/s10-mil-ph-intera-401-sense-20140514/s10-mil-ph-intera-401-sense-20140514_z.png,s10,mil-intera-sense,freesurfer,Axial
6,freesurfer/s02-osl-ge-signa-7-fspgr-20140522/s02-osl-ge-signa-7-fspgr-20140522_y.png,s02,osl-signa-fspgr,freesurfer,Coronal
7,freesurfer/s02-osl-ge-signa-7-fspgr-20140522/s02-osl-ge-signa-7-fspgr-20140522_x.png,s02,osl-signa-fspgr,freesurfer,Sagittal
8,freesurfer/s02-osl-ge-signa-7-fspgr-20140522/s02-osl-ge-signa-7-fspgr-20140522_z.png,s02,osl-signa-fspgr,freesurfer,Axial
9,freesurfer/s08-ber-si-triotim-5-mprage_r01-20140520/s08-ber-si-triotim-5-mprage_r01-20140520_z.png,s08,ber-triotim-mprage,freesurfer,Axial
10,freesurfer/s08-ber-si-triotim-5-mprage_r01-20140520/s08-ber-si-triotim-5-mprage_r01-20140520_x.png,s08,ber-triotim-mprage,freesurfer,Sagittal
11,freesurfer/s08-ber-si-triotim-5-mprage_r01-20140520/s08-ber-si-triotim-5-mprage_r01-20140520_y.png,s08,ber-triotim-mprage,freesurfer,Coronal
12,freesurfer/s02-bas-si-avanto-19-mprage-20140518/s02-bas-si-avanto-19-mprage-20140518_z.png,s02,bas-avanto-mprage,freesurfer,Axial
13,freesurfer/s02-bas-si-avanto-19-mprage-20140518/s02-bas-si-avanto-19-mprage-20140518_x.png,s02,bas-avanto-mprage,freesurfer,Sagittal
14,freesurfer/s02-bas-si-avanto-19-mprage-20140518/s02-bas-si-avanto-19-mprage-20140518_y.png,s02,bas-avanto-mprage,freesurfer,Coronal
15,freesurfer/s03-bas-si-avanto-15-t1se-20140518/s03-bas-si-avanto-15-t1se-20140518_z.png,s03,bas-avanto-t1se,freesurfer,Axial
16,freesurfer/s03-bas-si-avanto-15-t1se-20140518/s03-bas-si-avanto-15-t1se-20140518_y.png,s03,bas-avanto-t1se,freesurfer,Coronal
17,freesurfer/s03-bas-si-avanto-15-t1se-20140518/s03-bas-si-avanto-15-t1se-20140518_x.png,s03,bas-avanto-t1se,freesurfer,Sagittal
18,freesurfer/s00-bas-si-skyra-16-mprage-20140518/s00-bas-si-skyra-16-mprage-20140518_x.png,s00,bas-skyra-mprage,freesurfer,Sagittal
19,freesurfer/s00-bas-si-skyra-16-mprage-20140518/s00-bas-si-skyra-16-mprage-20140518_y.png,s00,bas-skyra-mprage,freesurfer,Coronal
20,freesurfer/s00-bas-si-skyra-16-mprage-20140518/s00-bas-si-skyra-16-mprage-20140518_z.png,s00,bas-skyra-mprage,freesurfer,Axial
21,freesurfer/s08-sf-si-skyra-14-mprage-20140311/s08-sf-si-skyra-14-mprage-20140311_z.png,s08,sf-skyra-mprage,freesurfer,Axial
22,freesurfer/s08-sf-si-skyra-14-mprage-20140311/s08-sf-si-skyra-14-mprage-20140311_y.png,s08,sf-skyra-mprage,freesurfer,Coronal
23,freesurfer/s08-sf-si-skyra-14-mprage-20140311/s08-sf-si-skyra-14-mprage-20140311_x.png,s08,sf-skyra-mprage,freesurfer,Sagittal
24,freesurfer/s03-ber-si-sonata-5-mprage-20140520/s03-ber-si-sonata-5-mprage-20140520_y.png,s03,ber-sonata-mprage,freesurfer,Coronal
25,freesurfer/s03-ber-si-sonata-5-mprage-20140520/s03-ber-si-sonata-5-mprage-20140520_x.png,s03,ber-sonata-mprage,freesurfer,Sagittal
26,freesurfer/s03-ber-si-sonata-5-mprage-20140520/s03-ber-si-sonata-5-mprage-20140520_z.png,s03,ber-sonata-mprage,freesurfer,Axial
27,freesurfer/s00-bas-si-skyra-10-t1se-20140518/s00-bas-si-skyra-10-t1se-20140518_x.png,s00,bas-skyra-t1se,freesurfer,Sagittal
28,freesurfer/s00-bas-si-skyra-10-t1se-20140518/s00-bas-si-skyra-10-t1se-20140518_y.png,s00,bas-skyra-t1se,freesurfer,Coronal
29,freesurfer/s00-bas-si-skyra-10-t1se-20140518/s00-bas-si-skyra-10-t1se-20140518_z.png,s00,bas-skyra-t1se,freesurfer,Axial
30,freesurfer/s03-osl-ge-signa-7-fspgr-20140521/s03-osl-ge-signa-7-fspgr-20140521_z.png,s03,osl-signa-fspgr,freesurfer,Axial
31,freesurfer/s03-osl-ge-signa-7-fspgr-20140521/s03-osl-ge-signa-7-fspgr-20140521_x.png,s03,osl-signa-fspgr,freesurfer,Sagittal
32,freesurfer/s03-osl-ge-signa-7-fspgr-20140521/s03-osl-ge-signa-7-fspgr-20140521_y.png,s03,osl-signa-fspgr,freesurfer,Coronal
33,freesurfer/s06-sf-si-skyra-7-mprage-20140327/s06-sf-si-skyra-7-mprage-20140327_x.png,s06,sf-skyra-mprage,freesurfer,Sagittal
34,freesurfer/s06-sf-si-skyra-7-mprage-20140327/s06-sf-si-skyra-7-mprage-20140327_y.png,s06,sf-skyra-mprage,freesurfer,Coronal
35,freesurfer/s06-sf-si-skyra-7-mprage-20140327/s06-sf-si-skyra-7-mprage-20140327_z.png,s06,sf-skyra-mprage,freesurfer,Axial
36,freesurfer/s04-bas-si-avanto-7-mprage-20140518/s04-bas-si-avanto-7-mprage-20140518_x.png,s04,bas-avanto-mprage,freesurfer,Sagittal
37,freesurfer/s04-bas-si-avanto-7-mprage-20140518/s04-bas-si-avanto-7-mprage-20140518_y.png,s04,bas-avanto-mprage,freesurfer,Coronal
38,freesurfer/s04-bas-si-avanto-7-mprage-20140518/s04-bas-si-avanto-7-mprage-20140518_z.png,s04,bas-avanto-mprage,freesurfer,Axial
39,freesurfer/s02-ber-si-triotim-5-mprage-20140520/s02-ber-si-triotim-5-mprage-20140520_z.png,s02,ber-triotim-mprage,freesurfer,Axial
40,freesurfer/s02-ber-si-triotim-5-mprage-20140520/s02-ber-si-triotim-5-mprage-20140520_y.png,s02,ber-triotim-mprage,freesurfer,Coronal
41,freesurfer/s02-ber-si-triotim-5-mprage-20140520/s02-ber-si-triotim-5-mprage-20140520_x.png,s02,ber-triotim-mprage,freesurfer,Sagittal
42,freesurfer/s06-bas-si-prisma-4-t1se-20140518/s06-bas-si-prisma-4-t1se-20140518_z.png,s06,bas-prisma-t1se,freesurfer,Axial
43,freesurfer/s06-bas-si-prisma-4-t1se-20140518/s06-bas-si-prisma-4-t1se-20140518_y.png,s06,bas-prisma-t1se,freesurfer,Coronal
44,freesurfer/s06-bas-si-prisma-4-t1se-20140518/s06-bas-si-prisma-4-t1se-20140518_x.png,s06,bas-prisma-t1se,freesurfer,Sagittal
45,freesurfer/s11-mil-ph-intera-401-sense-20140510/s11-mil-ph-intera-401-sense-20140510_z.png,s11,mil-intera-sense,freesurfer,Axial
46,freesurfer/s11-mil-ph-intera-401-sense-20140510/s11-mil-ph-intera-401-sense-20140510_y.png,s11,mil-intera-sense,freesurfer,Coronal
47,freesurfer/s11-mil-ph-intera-401-sense-20140510/s11-mil-ph-intera-401-sense-20140510_x.png,s11,mil-intera-sense,freesurfer,Sagittal
48,freesurfer/s05-bas-si-skyra-15-mprage-20140518/s05-bas-si-skyra-15-mprage-20140518_z.png,s05,bas-skyra-mprage,freesurfer,Axial
49,freesurfer/s05-bas-si-skyra-15-mprage-20140518/s05-bas-si-skyra-15-mprage-20140518_x.png,s05,bas-skyra-mprage,freesurfer,Sagittal
50,freesurfer/s05-bas-si-skyra-15-mprage-20140518/s05-bas-si-skyra-15-mprage-20140518_y.png,s05,bas-skyra-mprage,freesurfer,Coronal
51,freesurfer/s06-mil-ph-intera-401-sense-20140510/s06-mil-ph-intera-401-sense-20140510_z.png,s06,mil-intera-sense,freesurfer,Axial
52,freesurfer/s06-mil-ph-intera-401-sense-20140510/s06-mil-ph-intera-401-sense-20140510_y.png,s06,mil-intera-sense,freesurfer,Coronal
53,freesurfer/s06-mil-ph-intera-401-sense-20140510/s06-mil-ph-intera-401-sense-20140510_x.png,s06,mil-intera-sense,freesurfer,Sagittal
54,freesurfer/s00-bas-si-prisma-4-t1se-20140518/s00-bas-si-prisma-4-t1se-20140518_z.png,s00,bas-prisma-t1se,freesurfer,Axial
55,freesurfer/s00-bas-si-prisma-4-t1se-20140518/s00-bas-si-prisma-4-t1se-20140518_y.png,s00,bas-prisma-t1se,freesurfer,Coronal
56,freesurfer/s00-bas-si-prisma-4-t1se-20140518/s00-bas-si-prisma-4-t1se-20140518_x.png,s00,bas-prisma-t1se,freesurfer,Sagittal
57,freesurfer/s01-mil-ph-intera-401-sense-20140516/s01-mil-ph-intera-401-sense-20140516_z.png,s01,mil-intera-sense,freesurfer,Axial
58,freesurfer/s01-mil-ph-intera-401-sense-20140516/s01-mil-ph-intera-401-sense-20140516_x.png,s01,mil-intera-sense,freesurfer,Sagittal
59,freesurfer/s01-mil-ph-intera-401-sense-20140516/s01-mil-ph-intera-401-sense-20140516_y.png,s01,mil-intera-sense,freesurfer,Coronal
60,freesurfer/s10-mil-ph-intera-1001-mprage-20140514/s10-mil-ph-intera-1001-mprage-20140514_y.png,s10,mil-intera-mprage,freesurfer,Coronal
61,freesurfer/s10-mil-ph-intera-1001-mprage-20140514/s10-mil-ph-intera-1001-mprage-20140514_x.png,s10,mil-intera-mprage,freesurfer,Sagittal
62,freesurfer/s10-mil-ph-intera-1001-mprage-20140514/s10-mil-ph-intera-1001-mprage-20140514_z.png,s10,mil-intera-mprage,freesurfer,Axial
63,freesurfer/s02-ber-si-sonata-5-mprage-20140520/s02-ber-si-sonata-5-mprage-20140520_z.png,s02,ber-sonata-mprage,freesurfer,Axial
64,freesurfer/s02-ber-si-sonata-5-mprage-20140520/s02-ber-si-sonata-5-mprage-20140520_x.png,s02,ber-sonata-mprage,freesurfer,Sagittal
65,freesurfer/s02-ber-si-sonata-5-mprage-20140520/s02-ber-si-sonata-5-mprage-20140520_y.png,s02,ber-sonata-mprage,freesurfer,Coronal
66,freesurfer/s09-bas-si-skyra-6-mprage-20140518/s09-bas-si-skyra-6-mprage-20140518_z.png,s09,bas-skyra-mprage,freesurfer,Axial
67,freesurfer/s09-bas-si-skyra-6-mprage-20140518/s09-bas-si-skyra-6-mprage-20140518_y.png,s09,bas-skyra-mprage,freesurfer,Coronal
68,freesurfer/s09-bas-si-skyra-6-mprage-20140518/s09-bas-si-skyra-6-mprage-20140518_x.png,s09,bas-skyra-mprage,freesurfer,Sagittal
69,freesurfer/s01-bas-si-skyra-16-mprage-20140518/s01-bas-si-skyra-16-mprage-20140518_x.png,s01,bas-skyra-mprage,freesurfer,Sagittal
70,freesurfer/s01-bas-si-skyra-16-mprage-20140518/s01-bas-si-skyra-16-mprage-20140518_y.png,s01,bas-skyra-mprage,freesurfer,Coronal
71,freesurfer/s01-bas-si-skyra-16-mprage-20140518/s01-bas-si-skyra-16-mprage-20140518_z.png,s01,bas-skyra-mprage,freesurfer,Axial
72,freesurfer/s09-bas-si-avanto-21-mprage-20140518/s09-bas-si-avanto-21-mprage-20140518_y.png,s09,bas-avanto-mprage,freesurfer,Coronal
73,freesurfer/s09-bas-si-avanto-21-mprage-20140518/s09-bas-si-avanto-21-mprage-20140518_x.png,s09,bas-avanto-mprage,freesurfer,Sagittal
74,freesurfer/s09-bas-si-avanto-21-mprage-20140518/s09-bas-si-avanto-21-mprage-20140518_z.png,s09,bas-avanto-mprage,freesurfer,Axial
75,freesurfer/s06-ber-si-triotim-5-mprage_r01-20140520/s06-ber-si-triotim-5-mprage_r01-20140520_z.png,s06,ber-triotim-mprage,freesurfer,Axial
76,freesurfer/s06-ber-si-triotim-5-mprage_r01-20140520/s06-ber-si-triotim-5-mprage_r01-20140520_y.png,s06,ber-triotim-mprage,freesurfer,Coronal
